Class,Species,Order,Mass,Tb,Tlc,BMR,Cmin,BMR.res,Cmin.res,A,I
Mammals,Monophyllus redmani,Chiroptera,8.7,35.5,31,11.1,2.47,-0.17,-0.1,0.07,0
Mammals,Mormoops blainvillei,Chiroptera,8.6,33,30,8,2.67,-0.31,-0.06,0.25,0
Mammals,Natalus tumidirostris,Chiroptera,5.4,34,28,8.3,1.38,-0.15,-0.24,-0.09,1
Mammals,Noctilio albiventris,Chiroptera,27,34.2,32,31.6,14.36,-0.08,0.39,0.47,0.83
Mammals,Noctilio leporinus,Chiroptera,61,33.3,28,70.8,13.36,0.02,0.16,0.14,1
Mammals,Nyctimene albiventer,Chiroptera,30.9,35.9,28,26.4,3.34,-0.2,-0.28,-0.08,1
Mammals,Peropteryx macrotis,Chiroptera,5.1,35,30.5,11.8,2.62,0.02,0.06,0.04,1
Mammals,Phyllostomus discolor,Chiroptera,33.5,34,25,47.9,5.32,0.04,-0.1,-0.14,0.71
Mammals,Phyllostomus elongatus,Chiroptera,35.6,36,25,38.8,3.53,-0.08,-0.29,-0.21,1
Mammals,Phyllostomus hastatus,Chiroptera,84.2,35,25,100.2,10.02,0.07,-0.05,-0.12,0.41
Mammals,Pteronotus quadridens,Chiroptera,4.9,32.8,30,6.1,2.18,-0.25,-0.01,0.24,0
Mammals,Rhinonicteris aurantia,Chiroptera,8.27,36.1,32.5,16.2,4.5,0,0.17,0.17,1
Mammals,Rhinophylla pumilio,Chiroptera,9.5,36,30,18.6,3.1,0.02,-0.02,-0.04,0.54
Mammals,Saccopteryx bilineata,Chiroptera,8.2,35.5,30,15.3,2.78,-0.02,-0.03,-0.01,1
Mammals,Sturnira erythromos,Chiroptera,15.9,34.4,25.5,39.9,4.48,0.19,0.01,-0.18,0
Mammals,Sturnira lilium,Chiroptera,21.9,36.6,30,53.2,8.06,0.21,0.19,-0.02,0
Mammals,Tonatia bidens,Chiroptera,27.4,37,28,55.1,6.12,0.16,0.01,-0.15,0
Mammals,Uroderma bilobatum,Chiroptera,16.2,36.3,30,31.6,5.02,0.08,0.06,-0.02,0
Mammals,Chaetophractus nationi,Cingulata,2150,35.5,29,559,86,-0.21,0.09,0.3,0.31
Mammals,Chaetophractus vellerosus,Cingulata,1110,34.4,30,306.4,69.64,-0.26,0.16,0.42,0.38
Mammals,Dasypus novemcinctus,Cingulata,3320,34.5,28,806.8,124.12,-0.19,0.15,0.34,0.43
Mammals,Euphractus sexcinctus,Cingulata,8190,34.2,26,1244.9,151.82,-0.28,0.01,0.29,0.04
Mammals,Tolypeutes matacus,Cingulata,1160,33,28,210,42,-0.44,-0.07,0.37,0
Mammals,Zaedyus pichiy,Cingulata,1740,35.2,28,393.2,54.61,-0.29,-0.05,0.24,0
