Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Aramides_cajanea,374.3,40.2,30,265.3,Aramides_cajaneus,-57.57229706,-9.40215891,24.28452911,30.06732788,18.65467072,Resident
Birds,Fulica_atra,387,39.6,20,404.9,Fulica_atra,82.55612514,36.33531499,8.633951569,27.43967285,-10.32545166,Short Migrants
Birds,Gallinula_mortierii,954.4,39.4,15,548.3,Tribonyx_mortierii,146.996228,-41.84264062,10.79939041,18.77541809,4.598350525,Resident
Birds,Gallinula_tenebrosa,512.4,39.4,17,402.5,Gallinula_tenebrosa,141.1600172,-24.44672994,20.58739471,30.57858887,10.23832321,Resident
Birds,Gallinula_ventralis,309.2,39.7,20,277.7,Tribonyx_ventralis,134.2562365,-27.17993119,21.62967377,33.95655823,8.167049408,Resident
Birds,Gallirallus_australis,813.5,39,30,314.5,Gallirallus_australis,164.4876518,-42.60413465,9.427271271,16.54898224,3.094763184,Resident
Birds,Gallirallus_owstoni,198.8,40.2,29,157.7,Hypotaenidia_owstoni,144.7775835,13.44329724,26.98642578,28.31995544,25.62588501,Resident
Birds,Gallirallus_philippensis,171.7,40.6,28,167.8,Hypotaenidia_philippensis,139.6415066,-14.9026461,20.89630432,27.04726563,15.03630676,Resident
Birds,Megacrex_inepta,856.6,38.6,18,230.9,Megacrex_inepta,141.1692307,-5.59712328,25.79523926,29.3105835,22.61394958,Resident
Birds,Porphyrio_hochstetteri,2758.3,39,9,1185,Porphyrio_hochstetteri,167.5348868,-45.24074057,5.81456337,12.91639557,-0.712789106,Resident
Birds,Porphyrio_porphyrio,919.3,39.6,14,636.2,Porphyrio_porphyrio,80.11534214,-2.62796515,22.69922485,32.16429443,12.35571289,Resident
Birds,Porzana_cinerea,47.9,38.9,28,85.1,Amaurornis_cinerea,124.3301158,-3.62210376,25.1236618,29.35812378,20.67284851,Resident
Birds,Acridotheres_cristatellus,117.7,41.4,25,119.5,Acridotheres_cristatellus,109.4731187,26.1788305,17.61660004,28.69923401,4.015652847,Resident
Birds,Actitis_hypoleucos,41.1,40.3,23.8,89.9,Actitis_hypoleucos,80.74093472,55.58400785,0.301406956,22.69028168,-20.89985504,Long Migrants
Birds,Aethopyga_christinae,5.2,39,27.6,24.9,Aethopyga_christinae,109.7435885,19.1961013,23.96951904,29.68930664,15.60773468,Resident
Birds,Aethopyga_siparaja,6.8,40.9,26,25.3,Aethopyga_siparaja,100.1501826,14.37236169,23.39731293,30.20339966,14.74808044,Resident
Birds,Amadina_fasciata,17.2,43.1,31,36.8,Amadina_fasciata,22.14942229,2.74737284,25.17326355,35.09850769,14.38199768,Resident
Birds,Anthreptes_collaris,8.3,38.5,25,29.2,Hedydipna_collaris,23.38858545,-4.78831183,22.83094177,29.91138916,16.23908844,Resident
Birds,Aphelocoma_coerulescens,78.72,41.5,12.4,165.4,Aphelocoma_coerulescens,-81.61063061,28.06832857,22.06602325,30.22250061,11.22126617,Resident
Birds,Astrapia_stephaniae,148.2,41.4,26,277.2,Astrapia_stephaniae,145.8533043,-7.09520849,16.42012024,19.67520294,13.10911713,Resident
Birds,Bombycilla_garrulus,64.9,40.5,18,143.6,Bombycilla_garrulus,27.65864955,61.23886026,-3.885441971,19.90389099,-26.00821228,Long Migrants
Birds,Cardinalis_cardinalis,41,38.9,29,86.5,Cardinalis_cardinalis,-92.58040067,34.81984597,15.19074402,30.46808777,-0.713920355,Resident
Birds,Cardinalis_sinuatus,32,38.7,30,67.4,Cardinalis_sinuatus,-104.2762526,28.25550128,19.55450897,32.91542053,4.868673325,Resident
Birds,Carduelis_flammea,14.7,40.48,13,59.8,Acanthis_flammea,24.50109331,63.98800925,-6.709400177,16.46569366,-27.54086609,Long Migrants
Birds,Carduelis_pinus,13.8,38.8,23,59.3,Spinus_pinus,-107.2614196,50.01162291,3.227913666,22.07598877,-14.80843201,Short Migrants
Birds,Carduelis_tristis,12.8,39.3,23,52.1,Spinus_tristis,-97.05390995,44.38270514,7.73852005,26.4991333,-10.15715637,Short Migrants
Birds,Carpodacus_cassinii,27.4,39,22,58.3,Haemorhous_cassinii,-114.1752701,43.12001335,6.840023804,26.74787598,-8.878936005,Short Migrants
Birds,Carpodacus_mexicanus,20.4,39,22,53.5,Haemorhous_mexicanus,-100.5527913,38.8810312,11.69760895,28.89420471,-4.647847366,Resident
Birds,Carpodacus_purpureus,34,39,30,146.3,Haemorhous_purpureus,-99.99428056,50.65474698,3.156516647,21.78959351,-15.42136536,Long Migrants
Birds,Carpodacus_roseus,22.5,40.46,22.5,92.5,Carpodacus_roseus,118.6390501,58.85408047,-6.346844101,20.63244476,-32.89641724,Long Migrants
Birds,Cicinnurus_magnificus,82.3,40.4,20,135.8,Cicinnurus_magnificus,141.7392669,-5.24810502,22.69156647,25.55861511,19.78096924,Resident
Birds,Cicinnurus_regius,54,40.4,20,100.4,Cicinnurus_regius,139.9815878,-4.77713658,25.30273895,28.33514099,22.34781189,Resident
Birds,Cnemophilus_loriae,78.1,38.6,20,113.8,Cnemophilus_loriae,141.9550228,-5.4272108,16.01098633,19.27316437,12.86830292,Resident
Birds,Coccothraustes_vespertinus,60,39,16,143.4,Hesperiphona_vespertina,-102.5250744,47.21676068,4.792250824,23.21136322,-12.64361343,Short Migrants
Birds,Coereba_flaveola,10,40.7,25,36.8,Coereba_flaveola,-57.24653,-6.95614871,24.40998688,30.13381042,19.03856812,Resident
Birds,Corvus_corax,1203,41,1,946.5,Corvus_corax,18.80658354,54.80603775,-0.541114187,20.74975281,-20.59115906,Short Migrants
Birds,Cyanerpes_cyaneus,13.5,40.22,25,46.8,Cyanerpes_cyaneus,-63.36338381,-2.30023223,25.03519287,29.94064331,20.75734711,Resident
Birds,Cyanocitta_cristata,80.8,40.3,19,143.4,Cyanocitta_cristata,-90.68869182,42.96688443,8.984280396,27.01213989,-9.454955292,Short Migrants
Birds,Emberiza_chrysophrys,15.94,40.58,25,55.4,Emberiza_chrysophrys,114.084182,59.19154736,-5.752801132,21.78197327,-33.0299408,Long Migrants
Birds,Emberiza_citrinella,26.8,39.8,25,75,Emberiza_citrinella,53.52026481,55.02517184,2.769277763,22.29293365,-15.36118317,Short Migrants
Birds,Emberiza_hortulana,24.3,39.5,32,71.7,Emberiza_hortulana,47.99411763,52.29405779,4.986567688,24.06360779,-12.77264862,Long Migrants
