"","ThermoMode","Group","ID","Lineage1.name","Lineage2.name","Lineage1.Mean.dS","Lineage2.Mean.dS","Lineage1.Mean.dN","Lineage2.Mean.dN","Lineage1.Mean.dNdS","Lineage2.Mean.dNdS","Lineage1.spp","Lineage2.spp","diff.dn.sd","diff.ds.sd","diff.dnds.sd","diff.dn","diff.ds","diff.dnds","diff.spp"
"47","Ectotherms","Amphibians",14,"Odontophrynidae","Bufonidae",0.0468749166666667,0.057545,0.00409458333333333,0.00496441666666667,0.0873284843388918,0.0863805298023334,50,637,0.118949713177823,0.0599615549395554,0.109249520032664,0.190547861765661,0.203572440667612,-0.0130245789019509,2.54474665014402
"48","Ectotherms","Amphibians",16,"Hemisotidae","Brevicipitidae",0.0741538333333333,0.0472683333333333,0.00574408333333333,0.00516608333333333,0.0798826182696938,0.109638442338035,9,36,0.182269828430508,0.263449399761821,0.102820615330883,-0.0847350329318686,-0.405357057777309,0.320622024845441,1.38629436111989
"49","Ectotherms","Amphibians",17,"Hyperoliidae","Arthroleptidae",0.0726857192982456,0.0551200701754386,0.00580137719298246,0.00483795614035088,0.0797216038402208,0.0885002537211341,232,151,0.183901965311849,0.181745791204026,0.100656245717356,0.190320645191724,0.289822557899091,-0.0995019127073666,0.429457534851386
"50","Ectotherms","Amphibians",19,"Petropedetidae+Micrixalidae+Conrauidae","Pyxicephalidae",0.0544872666666667,0.0579386666666667,0.00465696666666667,0.00537793333333333,0.0855539851673178,0.0941875596627523,43,87,0.0732385121084588,0.137230357085922,0.106496134730541,0.143441291736847,0.0547404781539002,0.0887008135829475,0.704708002961021
"51","Ectotherms","Amphibians",20,"Nyctibatrachidae","Ceratobatrachidae",0.0405626666666667,0.046176,0.00418966666666667,0.00447566666666667,0.103288738412991,0.0969262531762533,39,102,NA,NA,NA,0.0660341401478703,0.129612079250128,-0.0635779391022564,0.961411167154624
"52","Ectotherms","Amphibians",21,"Mantellidae","Rhacophoridae",0.0434871975308642,0.0557971481481481,0.00389412345679012,0.00532896296296296,0.0897745395305237,0.0962265060679707,232,434,0.121529939338661,0.162542767914624,0.0929478787125995,0.311146734158307,0.243599827313882,0.0675469068444248,0.626307162434095
"53","Ectotherms","Reptiles",1,"Diplodactylidae","Carphodactylidae+Pygopodidae",0.0281172777777778,0.0282562777777778,0.00345111111111111,0.0038065,0.122658942927074,0.134915630391281,154,76,0.216371853446019,0.204341945960861,0.0454952574854637,-0.11384936032597,-0.0190814427446672,-0.094767917581303,0.706219262127298
"54","Ectotherms","Reptiles",2,"Sphaerodactylidae","Gekkonidae",0.0532605833333333,0.0397904166666666,0.00636591666666667,0.0045495,0.119523360121599,0.114548612286113,224,1291,0.0928162694440366,0.112321085234631,0.0312464326239057,-0.338634480854328,-0.29574075064791,-0.0428937302064186,1.7515263389916
"55","Ectotherms","Reptiles",3,"Xantusiidae+Gerrhosauridae+Cordylidae","Scincidae",0.0602244333333333,0.0722737916666667,0.00726605,0.00836011666666667,0.120407681840484,0.116391409818651,141,1687,0.115629659930712,0.138070944088278,0.0727066680167695,0.136803343532672,0.173362991535842,-0.0365596480031696,2.4819471921678
"56","Ectotherms","Reptiles",4,"Lacertidae","Rhineuridae+Bipedidae+Blanidae+Cadeidae+Trogonophidae+Amphisbaenidae",0.0663137666666667,0.0635151,0.00612623333333333,0.0083436,0.0924207982522981,0.131090502042202,346,199,0.108071215558921,0.0950519194213425,0.0211002807340041,-0.30585341008493,0.0434030808999804,-0.349256490984911,0.553133950333232
"57","Ectotherms","Reptiles",5,"Alopoglossidae+Gymnophthalmidae","Teiidae",0.06260065,0.0462367666666667,0.0066671,0.00423986666666667,0.106795916084836,0.09218456532009,280,162,0.0964567626701647,0.148026757162945,0.0619186343411535,0.454588978342893,0.306633152751075,0.147955825591819,0.547193267936866
"58","Ectotherms","Reptiles",6,"Shinisauridae","Varanidae+Lanthanotidae",0.0206916,0.0651325333333333,0.00292606666666667,0.0079198,0.141348853107768,0.121387575503199,1,82,0.0651762653149859,0.0491998686410649,0.0349787785955053,0.991691251016052,1.14496499871807,-0.153273747702019,4.40671924726425
"59","Ectotherms","Reptiles",7,"Helodermatidae","Xenosauridae+Diploglossidae+Anniellidae+Anguidae",0.0241162222222222,0.0347717222222222,0.00321116666666667,0.00401922222222222,0.133417348039377,0.122198618761756,2,148,0.257402228571749,0.377201027740319,0.126950236018881,0.196344868582145,0.294558037902501,-0.0982131693203557,4.30406509320417
"60","Ectotherms","Reptiles",8,"Chamaeleonidae","Agamidae",0.0582892777777778,0.0533821944444444,0.00903469444444444,0.00589377777777778,0.155174968573961,0.111085963529498,213,515,0.207483406874734,0.241163423024012,0.0539889369020733,-0.443847242859834,-0.108567663427754,-0.335279579432081,0.882874734954311
"61","Ectotherms","Reptiles",9,"Dactyloidae","Polychrotidae",0.055203,0.036162,0.00740166666666667,0.004997,0.13408087724701,0.138183728776063,436,8,NA,NA,NA,0.392867467713889,0.423008455903385,-0.0301409881894965,3.9982007016692
"62","Ectotherms","Reptiles",10,"Liolaemidae","Opluridae+Leiosauridae",0.0357420222222222,0.0324450666666667,0.00507626666666667,0.00469595555555556,0.143252053414473,0.148481336196387,318,42,0.219908846940968,0.329257570928953,0.110871578907718,0.0884961058288013,0.121634414482248,-0.0331383086534467,2.02438176449681
