ThermoMode,Group,ID,Lineage1.Name,Lineage2.Name,Lineage1.Mean.dS,Lineage2.Mean.dS,Lineage1.Mean.dN,Lineage2.Mean.dN,Lineage1.Spp,Lineage2.Spp,Diff.dS,Diff.dS.SD,Diff.dN,Diff.dN.SD,Diff.Spp
Ectotherms,Reptiles,5,Platysternidae,Emydidae,0.297592111,0.210061333,0.017386445,0.014350222,1,53,-0.348009088,0.050415843,-0.192296638,0.034795991,3.970291914
Ectotherms,Reptiles,6,Geoemydidae,Testudinidae,0.19504176,0.212001363,0.014055207,0.007749003,71,60,-0.089100216,0.184811847,0.609426645,0.2529476,0.168335315
Ectotherms,Reptiles,8,Diplodactylidae,Pygopodidae+Carphodactylidae,0.790846667,0.861157667,0.017487,0.016651667,124,70,-0.085173507,NA,0.048947416,NA,0.571786324
Ectotherms,Reptiles,9,Scincidae,Xantusiidae+Cordylidae+Gerrhosauridae+,0.899133667,0.882256333,0.0224992,0.02758015,1075,125,-0.004567454,0.402889971,-0.202413031,0.095188079,2.151762203
Ectotherms,Reptiles,10,Amphisbaenidae,Trogonophidae,1.137683334,1.2669345,0.026256834,0.0216145,65,4,-0.086572362,0.389011479,0.193165456,0.116806272,2.788092909
Ectotherms,Reptiles,12,Helodermatidae+Xenosauridae,Anguidae+Diploglossidae+Anniellidae,1.978567708,1.013657375,0.025313875,0.027939458,14,111,-0.663224479,0.18190582,0.09862807,0.043154474,2.070472872
Ectotherms,Reptiles,14,Polychrotidae+Liolaemidae,Opluridae+Leiosauridae+Hoplocercidae,0.9485045,1.045542,0.019811834,0.017299,326,60,-0.055463719,0.389905323,0.135966533,0.045610768,1.692552819
Ectotherms,Reptiles,15,Iguanidae,Leiocephalidae,0.669359333,1.749478133,0.014332067,0.01687,40,15,-0.940619635,0.270647717,-0.167057799,0.108544632,0.980829253
Ectotherms,Reptiles,16,Crotaphytidae,Corytophanidae,0.645829333,0.771843333,0.013807667,0.015175,12,8,-0.178246314,NA,-0.094425319,NA,0.405465108
Ectotherms,Reptiles,17,Tropidophiidae,Aniliidae,1.307823,1.072515333,0.022543667,0.017783,10,1,0.198357255,NA,0.237211239,NA,2.302585093
Ectotherms,Reptiles,18,Xenopeltidae,Pythonidae+Loxocemidae,0.588545333,0.617467,0.010683667,0.009914,1,35,0.047971671,NA,-0.074768227,NA,3.555348061
Ectotherms,Reptiles,19,Colubridae,Elapidae+Micrelapidae+Lamprophiidae+Cyclocoridae,0.580035143,0.675713593,0.01629273,0.01995348,990,572,-0.15961202,0.283425968,-0.20050848,0.183288891,0.548565952
Endotherms,Mammals,1,Ornithorhynchidae,Tachyglossidae,0.356721334,0.229999833,0.006670167,0.009998334,1,4,-0.439558856,0.026413908,0.404204465,0.042679599,1.386294361
Endotherms,Mammals,2,Thylacomyidae,Peramelidae,0.590332889,0.370569889,0.010441926,0.006890482,2,22,-0.452771916,0.295098839,-0.422093651,0.102653143,2.397895273
Endotherms,Mammals,3,Myrmecobiidae,Dasyuridae,0.627403267,0.862149483,0.014563383,0.012188583,2,73,0.357312965,0.397512324,-0.175451179,0.195124834,3.597312261
Endotherms,Mammals,4,Phascolarctidae,Vombatidae,0.390741167,0.2257855,0.021678834,0.007034167,1,3,-0.548695676,0.016904381,-1.125562364,0.00182818,1.098612289
Endotherms,Mammals,5,Burramyidae,Phalangeridae,0.524033562,0.432031563,0.009673167,0.010095938,5,27,-0.200726854,0.136706641,0.035969022,0.16202193,1.686398954
Endotherms,Mammals,6,Petauridae,Pseudocheiridae,0.519380133,0.495493183,0.008693233,0.010657283,13,20,-0.054126888,0.267572553,0.202751821,0.234436765,0.430782916
Endotherms,Mammals,7,Potoroidae,Macropodidae,0.304518987,0.28606978,0.005038853,0.00580894,12,68,-0.062194574,0.137304476,0.142438053,0.19459335,1.734601055
Endotherms,Mammals,8,Chlamyphoridae,Dasypodidae,0.352100114,0.574601067,0.009250062,0.010120643,13,7,-0.494402203,0.27822245,-0.093083324,0.093317425,0.619039208
Endotherms,Mammals,10,Megalonychidae,Bradypodidae,0.226215933,0.2936845,0.008409617,0.019211817,2,4,0.28252401,0.263476226,0.874572085,0.359646668,0.693147181
Endotherms,Mammals,11,Macroscelididae,Orycteropodidae,1.104295555,1.041877334,0.022109222,0.015633222,19,1,0.058401484,0.298691742,0.344577785,0.091008645,2.944438979
Endotherms,Mammals,13,Trichechidae,Dugongidae,0.222984833,0.163602334,0.007324834,0.006834167,3,1,0.312847136,0.110504545,0.070772564,0.086930198,1.098612289
Endotherms,Mammals,14,Elephantidae,Procaviidae,0.499998595,1.259291071,0.029220119,0.023166571,7,5,-0.927916148,0.061531898,0.232615162,0.041254979,0.336472237
Endotherms,Mammals,15,Lorisidae,Galagidae,0.374848222,0.350230407,0.012494519,0.011555574,12,18,-0.064450586,0.262591142,-0.078094279,0.051595763,0.405465108
Endotherms,Mammals,16,Cheirogaleidae,Lepilemuridae,0.456234421,0.28307869,0.015103636,0.017998054,33,26,0.477495305,0.114898234,-0.176833758,0.075405974,0.238411023
